"","Descriptor","estimate"
"1","A2",-0.000345954957105143
"2","A6",-0.000133615722467082
"3","A8",-2.70396831732112e-05
"4","B6",8.38085622256852e-05
"5","B7",-3.81905722029358e-05
"6","B9",-2.97671871719137e-05
"7","C15",2.17025969873883e-05
"8","C17",-1.35862045692143e-05
"9","C3",-0.000120147624435217
"10","C5",8.07436860893185e-05
"11","D1",0.00050323722722899
"12","D10",2.99329459723404e-05
"13","D12",-4.37751823956884e-05
"14","D14",3.88530087044599e-05
"15","D16",-2.13842674041881e-05
"16","D2",-0.000161672095074492
"17","D5",0.000102618633547164
"18","D6",6.62915847999522e-05
"19","D7",-8.05267044722825e-05
