"","Descriptor","term","df","sumsq","meansq","statistic","p.value"
"1","A12","length",1,2.36752948509462e-06,2.36752948509462e-06,2.19378592875581,0.140060097233175
"2","A12","pop",2,1.0354463151211e-06,5.17723157560548e-07,0.479729517709457,0.619624208462239
"3","A12","length:pop",2,8.75510389782535e-06,4.37755194891267e-06,4.05630085216802,0.0186806943977203
"4","A12","Residuals",211,0.000227710787459686,1.07919804483263e-06,NA,NA
"5","A13","length",1,1.44247293905274e-07,1.44247293905274e-07,0.168198180578909,0.682134237348052
"6","A13","pop",2,4.70226155017045e-06,2.35113077508523e-06,2.74151360463031,0.0667701907965476
"7","A13","length:pop",2,1.51153963841784e-06,7.55769819208919e-07,0.881258185757505,0.415780455027475
"8","A13","Residuals",211,0.000180954270190419,8.5760317625791e-07,NA,NA
"9","A15","length",1,1.06434238308696e-06,1.06434238308696e-06,1.85315928691633,0.174868352451901
"10","A15","pop",2,6.82646355849942e-07,3.41323177924971e-07,0.59428829205966,0.552876450417883
"11","A15","length:pop",2,3.64223113083997e-07,1.82111556541999e-07,0.317080037047647,0.728618868421605
"12","A15","Residuals",211,0.000121185612276775,5.7433939467666e-07,NA,NA
"13","A16","length",1,3.2883305239571e-09,3.2883305239571e-09,0.00556499526777956,0.940604528619425
"14","A16","pop",2,4.93921675335147e-06,2.46960837667574e-06,4.17943355430427,0.0165930420137719
"15","A16","length:pop",2,1.45740027737528e-07,7.28700138687641e-08,0.12332132654801,0.884043237688366
"16","A16","Residuals",211,0.000124678945294376,5.90895475328796e-07,NA,NA
"17","A2","length",1,0.00217304883379517,0.00217304883379517,47.815612840294,5.47925924557757e-11
"18","A2","pop",2,0.00112195728952201,0.000560978644761003,12.3437344216137,8.51724406385927e-06
"19","A2","length:pop",2,8.64631807262131e-05,4.32315903631066e-05,0.951264856603464,0.387902284649671
"20","A2","Residuals",211,0.00958919642967315,4.544642857665e-05,NA,NA
"21","A6","length",1,0.000324149606607029,0.000324149606607029,62.6438765264789,1.38523732050406e-13
"22","A6","pop",2,9.53207073245948e-05,4.76603536622974e-05,9.21065227035365,0.000146197162597407
"23","A6","length:pop",2,3.13051105316488e-06,1.56525552658244e-06,0.302495119355461,0.739292019156741
