"","Descriptor","term","df","sumsq","meansq","statistic","p.value"
"1","AR","TL",1,0.000872671943789343,0.000872671943789343,0.100502069364812,0.751541414161996
"2","AR","Species",2,0.00650091391651259,0.00325045695825629,0.374341873840357,0.688197575388284
"3","AR","TL:Species",2,0.0263226793016264,0.0131613396508132,1.51573782099173,0.222027826721737
"4","AR","Residuals",211,1.83213919179281,0.00868312413171949,NA,NA
"5","FF","TL",1,0.0264826935061481,0.0264826935061481,76.2068031455496,7.83729292008585e-16
"6","FF","Species",2,0.0544276567864469,0.0272138283932234,78.3107225372558,3.64762881553647e-26
"7","FF","TL:Species",2,0.00111434919053972,0.000557174595269858,1.60332991391431,0.203667054337243
"8","FF","Residuals",211,0.0733247964637073,0.000347510883714253,NA,NA
"9","OCD.OH","TL",1,0.0570674406768588,0.0570674406768588,26.5522759758529,5.8802017520215e-07
"10","OCD.OH","Species",2,0.42068231660137,0.210341158300685,97.8673025816126,8.50110651165965e-31
"11","OCD.OH","TL:Species",2,0.00212419051436838,0.00106209525718419,0.494170512062841,0.610781040674082
"12","OCD.OH","Residuals",211,0.453491444340504,0.00214924855137679,NA,NA
"13","circ","TL",1,11.0087867780585,11.0087867780585,77.9977614819452,4.03431304077689e-16
"14","circ","Species",2,20.8111129607786,10.4055564803893,73.7238470329831,5.24660172287494e-25
"15","circ","TL:Species",2,0.577059654794737,0.288529827397369,2.04424711927573,0.132034256835405
"16","circ","Residuals",211,29.7810343019656,0.141142342663344,NA,NA
"17","ellip","TL",1,8.96142456365767e-05,8.96142456365767e-05,0.157743361628842,0.69164415992102
"18","ellip","Species",2,0.000388945242338255,0.000194472621169128,0.342320183471695,0.710514437303817
"19","ellip","TL:Species",2,0.00189843465449694,0.000949217327248468,1.67085859009233,0.190564316806463
"20","ellip","Residuals",211,0.119869423562864,0.000568101533473288,NA,NA
"21","logOA","TL",1,7.48252247720846,7.48252247720846,487.861297969417,8.81056300064481e-57
"22","logOA","Species",2,0.067824634088789,0.0339123170443945,2.21108684415219,0.112114410197558
"23","logOA","TL:Species",2,0.142010119085344,0.071005059542672,4.62953778173043,0.0107716405659285
"24","logOA","Residuals",211,3.23619079697926,0.0153373971420818,NA,NA
"25","round","TL",1,0.000993242638009509,0.000993242638009509,1.75516349097851,0.186661907576685
"26","round","Species",2,0.0561292381581877,0.0280646190790939,49.5931134154281,2.21627798303608e-18
"27","round","TL:Species",2,0.0012900135447886,0.000645006772394301,1.13979434129924,0.321846256639596
"28","round","Residuals",211,0.119404373266201,0.000565897503631283,NA,NA
