"","Descriptor","term","df","sumsq","meansq","statistic","p.value"
"1","AR","pop",2,0.00705255545115327,0.00352627772557663,0.40597717606665,0.666837464894338
"2","AR","Residuals",214,1.85878290150359,0.00868590140889527,NA,NA
"3","FF","pop",2,0.0534673500496566,0.0267336750248283,75.8759682450061,1.23966371477149e-25
"4","FF","Residuals",214,0.0753994523910381,0.000352333889677748,NA,NA
"5","OCD.OH","pop",2,0.413055231323181,0.20652761566159,95.407672545583,2.38659272975277e-30
"6","OCD.OH","Residuals",214,0.463242720133062,0.00216468560809842,NA,NA
"7","circ","pop",2,20.4444144187781,10.222207209389,71.1982788133544,1.98330352235384e-24
"8","circ","Residuals",214,30.7247924987611,0.143573796723183,NA,NA
"9","ellip","pop",2,0.00043471714135703,0.000217358570678515,0.381857686165144,0.683056347312081
"10","ellip","Residuals",214,0.121811700563979,0.000569213554037283,NA,NA
"11","round","pop",2,0.0530995286221354,0.0265497643110677,45.5562122220191,3.28901014549447e-17
"12","round","Residuals",214,0.124717338985051,0.000582791303668464,NA,NA
