"CAP1" "CAP2" "ID2" "ID" "Lat" "TL" "Sex" "SpeciesExt" "mtDNA" "Species"
"A106" -0.444764844375728 1.29156489641294 "A106" "A106" 20.82 45 "F" "A.inodorus" "AI" "A.inodorus"
"A109" 0.0465230868986327 -0.787005962226836 "A109" "A109" 20.82 44 "F" "A.inodorus" "AI" "A.inodorus"
"A114" -0.359007148075922 0.718711728531782 "A114" "A114" 21.58 53 "M" "A.inodorus" "AI" "A.inodorus"
"A213" -0.464019733659473 2.83282307041882 "A213" "A213" 22.7 67 "F" "A.inodorus" "AI" "A.inodorus"
"A214" -0.131731831246348 -0.0494386202620983 "A214" "A214" 22.7 91 "F" "A.inodorus" "AI" "A.inodorus"
"A215" -0.297502175713754 -1.02707405841722 "A215" "A215" 22.7 74 "F" "A.inodorus" "AI" "A.inodorus"
"A217" 0.133213781290558 -1.94680419457673 "A217" "A217" 22.7 70 "F" "A.inodorus" "AI" "A.inodorus"
"A219" 0.142709476991776 -0.0909496893563401 "A219" "A219" 22.7 74 "U" "A.inodorus" "AI" "A.inodorus"
"A220" -0.00108035250286893 -1.96944621610572 "A220" "A220" 22.7 67 "M" "A.inodorus" "AI" "Hybrid"
"A224" -0.344049392083058 -0.259751743335449 "A224" "A224" 22.7 63 "U" "A.inodorus" "AI" "A.inodorus"
"A227" -0.252839174222554 1.83970761422228 "A227" "A227" 22.7 67 "M" "A.inodorus" "AI" "A.inodorus"
"A230" -0.129096367175796 -0.218132477764555 "A230" "A230" 22.7 43 "F" "A.inodorus" "AI" "A.inodorus"
"A231" 0.435776942257685 0.742726706064867 "A231" "A231" 22.7 46 "F" "A.inodorus" "AI" "A.inodorus"
"A238" 0.156700823803347 0.0363705919623226 "A238" "A238" 20.82 51 "F" "A.inodorus" "AI" "A.inodorus"
"A243" -0.288194812157172 1.46456342217405 "A243" "A243" 20.82 66.5 "M" "A.inodorus" "AI" "A.inodorus"
"A244" -0.0398713514363309 0.7505968782657 "A244" "A244" 20.82 69.5 "F" "A.inodorus" "AI" "A.inodorus"
