"","CAP1","CAP2","ID2","ID","Lat","TL","Sex","SpeciesExt","mtDNA","Species"
"A106",-0.469868572607534,1.23022265862282,"A106","A106",20.82,45,"F","A.inodorus","AI","A.inodorus"
"A109",-0.0146949056478165,-0.83353256199618,"A109","A109",20.82,44,"F","A.inodorus","AI","A.inodorus"
"A114",-0.334441193986941,0.738020651148961,"A114","A114",21.58,53,"M","A.inodorus","AI","A.inodorus"
"A213",-0.336491367030883,2.94182120052141,"A213","A213",22.7,67,"F","A.inodorus","AI","A.inodorus"
"A214",0.149921596726052,0.0399409401927854,"A214","A214",22.7,91,"F","A.inodorus","AI","A.inodorus"
"A215",-0.131070391536748,-0.846420845271729,"A215","A215",22.7,74,"F","A.inodorus","AI","A.inodorus"
"A217",0.250480196369238,-1.8990039273426,"A217","A217",22.7,70,"F","A.inodorus","AI","A.inodorus"
"A219",0.288662125282646,-0.0719410592735192,"A219","A219",22.7,74,"U","A.inodorus","AI","A.inodorus"
"A220",0.101356078471497,-1.88717912449565,"A220","A220",22.7,67,"M","A.inodorus","AI","Hybrid"
"A224",-0.251628151905821,-0.147110321701706,"A224","A224",22.7,63,"U","A.inodorus","AI","A.inodorus"
"A227",-0.13470249432321,1.86951036571638,"A227","A227",22.7,67,"M","A.inodorus","AI","A.inodorus"
"A230",-0.187937293176175,-0.246326507486964,"A230","A230",22.7,43,"F","A.inodorus","AI","A.inodorus"
"A231",0.366921815685121,0.658123890691444,"A231","A231",22.7,46,"F","A.inodorus","AI","A.inodorus"
"A238",0.138973305629156,-0.00881948507770782,"A238","A238",20.82,51,"F","A.inodorus","AI","A.inodorus"
"A243",-0.172836728427007,1.53319095971566,"A243","A243",20.82,66.5,"M","A.inodorus","AI","A.inodorus"
"A244",0.0817914694886982,0.841304979362395,"A244","A244",20.82,69.5,"F","A.inodorus","AI","A.inodorus"
"A247",0.239026605505957,-0.0289528182208025,"A247","A247",20.82,70,"M","A.inodorus","AI","A.inodorus"
"A250",-0.423184512795467,1.23911059831518,"A250","A250",20.82,56,"F","A.inodorus","AI","A.inodorus"
"A253",-0.312632080362534,2.26990592755966,"A253","A253",20.82,50,"M","A.inodorus","AI","A.inodorus"
"A254",-0.304935549355566,0.0902157685853236,"A254","A254",20.82,63,"M","A.inodorus","AI","A.inodorus"
"A259",0.0297358327133841,0.289322780121515,"A259","A259",20.82,40.5,"F","A.inodorus","AI","A.inodorus"
"A262",-0.217970880549077,-0.164591026755924,"A262","A262",20.82,51.5,"F","A.inodorus","AI","A.inodorus"
"A264",-0.111752386026068,0.156255836199921,"A264","A264",20.82,53.5,"F","A.inodorus","AI","A.inodorus"
"A265",-0.18253862182081,-0.134990393241642,"A265","A265",20.82,41.5,"F","A.inodorus","AI","A.inodorus"
"A267",-0.161600889787447,2.50638240359656,"A267","A267",20.82,65,"M","A.inodorus","AI","A.inodorus"
