"A2" "A6" "A8" "A12" "A13" "A15" "A16" "B6" "B7" "B9" "B10" "B12" "B16" "C3" "C5" "C6" "C7" "C8" "C9" "C10" "C11" "C12" "C13" "C14" "C15" "C17" "D1" "D2" "D4" "D5" "D6" "D7" "D10" "D11" "D12" "D13" "D14" "D15" "D16" "D17"
"A106" -0.0217681762727067 -0.00548095678478208 0.000848791495172328 0.00147658271702536 0.00167032922487236 0.000674801288759004 -0.000202014052481372 -0.00555368279415912 -2.76829693794222e-05 0.000164135835049653 -0.00178115856770383 -0.00139512206348652 -0.0012162395398095 -0.00470318909765558 -0.0114841581387431 -0.0121965858040682 0.000666048641707163 0.000559704467408505 -0.000213548661788887 0.00202058595550267 0.00234453627452441 -0.00365337165407153 0.00205597938640591 -6.71372331021586e-05 -0.00278638088703801 0.00108012700537038 -0.561084654053918 -0.0505777051709899 0.0100476701698213 -0.00845012754887683 0.00608002636802915 0.00542739110119775 0.00332844927130798 -0.00494900678741386 0.000827243923867447 0.00138868095876834 -0.00101624020746741 -0.00192256831248376 0.000378559031182847 5.79919974665807e-05
"A109" -0.0310253280673365 -0.0046555727036163 -0.000211312106420686 0.000586025702021169 0.000607368028232979 0.00032229568012258 -0.000894427854192442 -0.00428499426250529 -0.00101483109071367 0.000946000851209978 -0.000254990882163429 0.000227020229698868 0.00062058797967669 -0.00657942434169524 -0.00384106024669782 -0.00740387665069782 7.93868211403422e-05 -0.00293054438879603 -0.000372998042898711 0.00321139737150353 0.003549133926566 -0.00306385502852543 -0.00294696232357941 -0.000117936074960351 0.00199934859314828 -0.000918271990916206 -0.607406458274421 -0.0489055164024911 0.00695287208191443 -0.00622178730480702 0.0124560059887163 0.00781161371834291 0.00366310673980484 -0.000660586132687787 -0.00303050989891583 -0.0016782043230569 -2.8029193092468e-05 0.000184787658856087 -0.000754260075892811 0.00113017332457677
"A114" -0.0304196350928536 -0.00450128168589069 0.00117670001229679 0.00126423769860017 0.00109939616898809 -0.000217978266391024 -0.000425217783469052 -0.00401899538437537 0.00106015189528691 0.00369520594048416 0.000930584724724433 0.00173805647197292 0.000146535318393807 -0.00509567488393059 -0.005465424803491 -0.0060607781451573 -0.00263576053849825 -0.00213273876590258 0.000416526350998662 -0.0012011396635027 0.00342098824583387 -0.000475303472828949 -0.00201453343397829 0.000915535018413006 0.0011688576969954 -0.000400161942392998 -0.571044323443775 -0.0540080880992662 0.0120569501823598 -0.00914334555485682 0.00798171537962735 0.0037956486412049 0.000925815548240858 -0.00100476550254686 -0.00298763895978526 -0.0012810485585096 -0.000586146139567259 -0.00128348209070382 -0.000736406378758679 0.00158312070330758
"A213" -0.0304809452856324 -0.00784379128076866 -8.10554861540308e-05 0.0010705824825475 0.00128505131011808 0.000144886469828731 -0.000537101502777045 -0.0050639729149963 -0.00399504644099208 0.00136270008245387 -0.000466811059242969 0.000311064164516503 -0.00081065773261812 0.00957582986876212 -0.0091904016815238 -0.00804004476743648 -0.00254901695868599 0.0010566418957868 -0.00229939252822131 -0.00139076662238758 0.000991154811005184 0.00043040910961347 0.00137378371672879 -0.000552853185131174 0.000150146788037864 0.00081333490831216 -0.556287845895083 -0.0580081251340012 0.011800106428507 -0.00487071695053963 0.00909466130582025 0.000189233325322178 0.00151174437728853 -0.00220173016209275 -0.00217953575192987 0.000362461475617552 0.000102395953722044 -0.0012124841639481 -0.000732012552848211 0.00127390257826283
"A214" -0.0300563641789027 -0.0109243194017747 0.000325545777708561 0.0013060291819468 0.00112017636876844 0.000417349397372604 -0.00197206776662042 -0.000869401969884002 0.00330498969741951 0.00342172740421183 0.00277102845071977 8.41663337188762e-05 -0.00111798908399477 0.0020924632433165 -0.00823848160228989 -0.00276856379089959 -0.00175613058826055 -0.00574571435985014 0.00146591974405714 0.00164453613468833 0.00239232374123031 -0.00222938335486014 2.80940702689544e-05 0.00232769151199886 0.00126139955006917 -6.89252665101175e-05 -0.578441159317442 -0.042428066847475 -0.00792433391198571 -0.00907827498410791 0.0147202909581142 0.00203903989455014 0.00305857276480803 -0.00105594826265903 -0.00553151437907384 -0.00150269426914501 -0.00132268463082146 -0.00113981798687565 0.000690551404510835 0.00134730040769512
"A215" -0.0304048012196748 -0.0087088030568066 -0.0012384652157477 0.00161763657777586 -0.00148557461944604 -0.000552652317180039 0.000361785753288162 0.00357432855399173 0.00257416778401523 0.000393056336706404 0.00131717758941336 0.00178604810018181 -0.000298729374524711 -0.00914436800594752 0.00630065716763858 -0.00139170244174563 -0.00909406577907472 -0.0078523285974294 -0.00177449298054047 0.00630440377713832 0.00506447458659408 -0.00124318679080232 -0.00257734383918013 0.00103062875959367 0.000982056072467185 -0.000837022149335741 -0.568134580686642 -0.0435844106090613 -0.00559074063950163 -0.00779873134869664 0.0162251031342508 0.00344366640034216 -0.000423948465847824 -0.00291530289595868 0.000588839883441067 0.000944629395225457 -0.000206961557239083 -0.00123481947991858 -0.00159878612980158 0.00202393475089655
"A217" -0.0341476598377008 -0.00981122042119713 4.37803016874975e-05 0.000447494835628485 0.000443611706903121 0.00131917734040147 -0.000697684657620191 0.00553641690836396 -0.000241910973975756 -0.00186797339621176 0.00107700115064807 -0.00170269091060395 0.00105638882210935 -0.00915258291280141 -0.00104853908494816 -0.00479542456218539 -0.00560843101652062 -0.00038761520540124 0.00771114997831506 0.00742073366587238 -0.00242907879476428 -0.00566651051733509 -0.00115502714787917 0.00137193187866887 -0.000194587565168368 -0.000246938779800161 -0.613669273641216 -0.0463714448923132 0.00248626308169798 0.000580477507673958 0.0121132866463573 0.000992682900355114 0.00249538932818277 -0.000958960083906282 4.00353214928352e-05 -0.000110377324241964 -0.00244470294845058 -0.000322979807846836 0.00174088324736847 0.000113096717224589
"A219" -0.0349214281756862 -0.00758186871676432 0.000490471665442304 -0.000960390154117034 0.000633966668083202 -0.00018706607454332 2.73674250766383e-05 0.00284724926010762 -0.000992623435999399 0.00335652874485569 0.00228591934283894 -0.000942547119313631 -2.66820826718999e-05 -0.000174787431688077 -0.00179808971602443 -0.0103326953397689 -0.00764238386238372 0.0021163910622601 0.00363655945393382 0.00309179103102405 0.000252621782936358 -0.00253608388334341 -0.000200017601888363 0.00251502511491964 0.000348523505131813 -3.82984075026885e-05 -0.617068715023278 -0.0566428397537186 0.00848975384481914 0.00334225813520089 0.013844808543884 0.000422751534651041 0.00350099336638192 -0.00199825414505179 -0.00197480286005957 -0.00167004632060046 0.00163827926330271 0.0010648920627429 0.000167787876330913 0.000676688673381599
"A220" -0.0382693995370144 -0.0104931451685664 -0.00175911522351923 -0.00110611488449802 0.000870801221086691 0.00172687972045192 0.00036327802663301 0.0026266025033 0.00047053292198997 -0.00193747369408915 -0.00158733222559614 -0.0031555225433927 0.000957975604632434 -0.0120576816938041 -0.00199732409857804 -0.00725911659989369 -0.0046449970690348 -0.000910430691576735 0.00731031048993428 0.00455136675631453 0.000549378761704146 -0.00365583056900996 -0.00467143962910284 -0.000527565961683203 0.00156738320323061 -0.000914036788056366 -0.6054561541107 -0.0488137406812265 0.00616436278167148 -0.00396533565877569 0.0151031001372919 0.000346402049568775 0.00227006364080504 0.0054317777246913 0.000304192794809987 -0.0022713458115201 -0.000863593629841256 -0.000390881462996762 0.000473042653078612 -0.000351182672007227
"A224" -0.0302394080637847 -0.00802664041586184 -0.000945502592980419 0.000862446524530507 0.00134332723271109 -0.000349108510983408 -0.000608088637159609 0.000945506689031512 -0.00259271576002972 -0.000578640287045843 -2.45081449667602e-05 0.000765750216589516 0.000442778927822465 -0.00561728475911206 -0.0049062939735744 -0.000897547801943418 -0.00103084259933279 -0.00420388894222755 0.00138132150297645 0.00636987666108792 0.000405413924507814 -0.00517927645125016 -0.0028850033044027 0.00269256971467407 0.00138598306842678 0.000273101293054143 -0.568315041192901 -0.0491226108359487 0.000731480332018433 -0.0054815788288165 0.0138862489747873 0.00299471998332314 0.00159864888767767 -0.0014399426742159 -6.2291657611915e-05 0.000965680483589508 -0.00206358519257267 -0.00392083388257155 0.000845307351594498 0.00306731450244466
