"A2" "A6" "A8" "B6" "B7" "B9" "C15" "C17" "C3" "C5" "D1" "D10" "D12" "D14" "D16" "D2" "D5" "D6" "D7" "A12" "A13" "A15" "A16" "B10" "B12" "B16" "C6" "C7" "C8" "C9" "C10" "C11" "C12" "C13" "C14" "D4" "D11" "D13" "D15" "D17"
"A106" -0.00620020320297527 0.000531750726236605 0.00206557723796683 -0.00932506809431495 0.00169089277975269 0.00150365925778577 -0.00376299775147048 0.00169150621098502 0.0007034540019292 -0.0151176240127625 -0.583730329279223 0.00198146670255266 0.00279712713167343 -0.0027646255991681 0.00134085106437131 -0.0433024608926378 -0.0130679660584992 0.0030969050520313 0.00905109280245047 0.00147658271702536 0.00167032922487236 0.000674801288759004 -0.000202014052481372 -0.00178115856770383 -0.00139512206348652 -0.0012162395398095 -0.0121965858040682 0.000666048641707163 0.000559704467408505 -0.000213548661788887 0.00202058595550267 0.00234453627452441 -0.00365337165407153 0.00205597938640591 -6.71372331021586e-05 0.0100476701698213 -0.00494900678741386 0.00138868095876834 -0.00192256831248376 5.79919974665807e-05
"A109" -0.0158033099547103 0.0012235190849353 0.000978433953200607 -0.00797257100043543 0.000665554086215505 0.00225575708677418 0.00104443432570319 -0.000320478989870777 -0.00129292886654567 -0.00739378243462784 -0.629548896272497 0.00234605711702186 -0.00110440187350554 -0.00173756157608871 0.000186647689891466 -0.0417919442192135 -0.0107370071808822 0.00953917625751837 0.0113547887151233 0.000586025702021169 0.000607368028232979 0.00032229568012258 -0.000894427854192442 -0.000254990882163429 0.000227020229698868 0.00062058797967669 -0.00740387665069782 7.93868211403422e-05 -0.00293054438879603 -0.000372998042898711 0.00321139737150353 0.003549133926566 -0.00306385502852543 -0.00294696232357941 -0.000117936074960351 0.00695287208191443 -0.000660586132687787 -0.0016782043230569 0.000184787658856087 0.00113017332457677
"A114" -0.0120840223662811 0.00258035160486465 0.00260980322047699 -0.00846084918233668 0.00308425222204251 0.00527286686059559 1.86200566638212e-05 0.00031990689977536 0.00127214921113593 -0.00974484016622489 -0.597715896486911 -0.000660630588293186 -0.000667554292813772 -0.00264535560090364 0.000396959793663291 -0.0454394670603182 -0.0145821331328565 0.00446826138522989 0.00806356397823587 0.00126423769860017 0.00109939616898809 -0.000217978266391024 -0.000425217783469052 0.000930584724724433 0.00173805647197292 0.000146535318393807 -0.0060607781451573 -0.00263576053849825 -0.00213273876590258 0.000416526350998662 -0.0012011396635027 0.00342098824583387 -0.000475303472828949 -0.00201453343397829 0.000915535018413006 0.0120569501823598 -0.00100476550254686 -0.0012810485585096 -0.00128348209070382 0.00158312070330758
"A213" -0.00730196315958784 0.00110846212452582 0.00173060328645112 -0.0106791465841172 -0.00143627810339538 0.00335710162297208 -0.00130392721011715 0.00172361061444952 0.0176257207059217 -0.0146002286495081 -0.590004740119425 -0.000493763002858284 0.000753401468581257 -0.00250075562947677 0.000700733363232391 -0.0471760947640103 -0.0117461653981996 0.00465312512422346 0.00558452252496511 0.0010705824825475 0.00128505131011808 0.000144886469828731 -0.000537101502777045 -0.000466811059242969 0.000311064164516503 -0.00081065773261812 -0.00804004476743648 -0.00254901695868599 0.0010566418957868 -0.00229939252822131 -0.00139076662238758 0.000991154811005184 0.00043040910961347 0.00137378371672879 -0.000552853185131174 0.011800106428507 -0.00220173016209275 0.000362461475617552 -0.0012124841639481 0.00127390257826283
"A214" 0.00142553691766527 0.00123471134272979 0.00278615694647078 -0.00849598113242135 0.00678033176788667 0.00613054143685597 -0.000713536775783166 0.00116741934928838 0.0130258970669213 -0.0155861570364179 -0.62423574699528 0.000334674681325049 -0.0015479727810662 -0.00485830842292732 0.00263651973829195 -0.0277159061956963 -0.0184165706368998 0.00868775674131859 0.00936697000152785 0.0013060291819468 0.00112017636876844 0.000417349397372604 -0.00197206776662042 0.00277102845071977 8.41663337188762e-05 -0.00111798908399477 -0.00276856379089959 -0.00175613058826055 -0.00574571435985014 0.00146591974405714 0.00164453613468833 0.00239232374123031 -0.00222938335486014 2.80940702689544e-05 0.00232769151199886 -0.00792433391198571 -0.00105594826265903 -0.00150269426914501 -0.00113981798687565 0.00134730040769512
"A215" -0.00480413439389426 0.00117876040575746 0.000762471339069932 -0.00262750505070897 0.00540027012703248 0.00259582818742802 -0.000623936104599551 0.000168356988786118 -0.000253443797741429 0.000325624397029011 -0.605374135501587 -0.00263898646780102 0.00382820338072201 -0.00308208420136912 -1.6350341891663e-05 -0.0316206755735489 -0.0153925102311868 0.0113195258590543 0.00940264253129107 0.00161763657777586 -0.00148557461944604 -0.000552652317180039 0.000361785753288162 0.00131717758941336 0.00178604810018181 -0.000298729374524711 -0.00139170244174563 -0.00909406577907472 -0.0078523285974294 -0.00177449298054047 0.00630440377713832 0.00506447458659408 -0.00124318679080232 -0.00257734383918013 0.00103062875959367 -0.00559074063950163 -0.00291530289595868 0.000944629395225457 -0.00123481947991858 0.00202393475089655
"A217" -0.0099308128403408 -0.000458119848501394 0.00193655812381228 -0.000330182447433999 0.00243142908022975 0.000215729705822203 -0.00171376935428555 0.000704095540044841 -0.000742249202336188 -0.00670059711120045 -0.648895879547245 0.000400083110118935 0.00310429808919102 -0.00516441355776277 0.00323778196566163 -0.0350543982370988 -0.00660282684062751 0.00747287571036062 0.00662955221341489 0.000447494835628485 0.000443611706903121 0.00131917734040147 -0.000697684657620191 0.00107700115064807 -0.00170269091060395 0.00105638882210935 -0.00479542456218539 -0.00560843101652062 -0.00038761520540124 0.00771114997831506 0.00742073366587238 -0.00242907879476428 -0.00566651051733509 -0.00115502714787917 0.00137193187866887 0.00248626308169798 -0.000958960083906282 -0.000110377324241964 -0.000322979807846836 0.000113096717224589
"A219" -0.00932076134990567 0.00230569474579974 0.00249140822025993 -0.00335458434459308 0.00183347890701785 0.0055593005955773 -0.00125746867193492 0.00096708073061917 0.00871613677651801 -0.007773122486634 -0.654308269838223 0.00128595536442873 0.00126456063722138 -0.00123684338082733 0.00175022366424083 -0.0446791047182062 -0.00425152074728923 0.00893923126868755 0.00638172766559995 -0.000960390154117034 0.000633966668083202 -0.00018706607454332 2.73674250766383e-05 0.00228591934283894 -0.000942547119313631 -2.66820826718999e-05 -0.0103326953397689 -0.00764238386238372 0.0021163910622601 0.00363655945393382 0.00309179103102405 0.000252621782936358 -0.00253608388334341 -0.000200017601888363 0.00251502511491964 0.00848975384481914 -0.00199825414505179 -0.00167004632060046 0.0010648920627429 0.000676688673381599
"A220" -0.0150904174109699 -0.00154089176327187 5.25435490859262e-05 -0.00298857116582091 0.00302930125958667 5.69278464290649e-05 0.000113309205075591 -3.76108191900741e-06 -0.00400779085664455 -0.00740715106656238 -0.639173048335043 0.000264556260658235 0.00323713001532111 -0.00346674521304007 0.00190578856915921 -0.0379817103112356 -0.0108407841064357 0.0106615639556951 0.00574169124921171 -0.00110611488449802 0.000870801221086691 0.00172687972045192 0.00036327802663301 -0.00158733222559614 -0.0031555225433927 0.000957975604632434 -0.00725911659989369 -0.0046449970690348 -0.000910430691576735 0.00731031048993428 0.00455136675631453 0.000549378761704146 -0.00365583056900996 -0.00467143962910284 -0.000527565961683203 0.00616436278167148 0.0054317777246913 -0.0022713458115201 -0.000390881462996762 -0.000351182672007227
"A224" -0.00844424576616069 0.000391150099564324 0.000757997446931888 -0.00433443273118665 -0.000186709711244761 0.00129669250478472 1.87194582213143e-05 0.00112903218091464 0.00195201558030663 -0.00999314619720146 -0.600018986508328 -0.000287126708579774 0.00269554483331646 -0.00451132474095364 0.00219251619805835 -0.0389372688462557 -0.0119465527422878 0.00970987913239035 0.00806790236507694 0.000862446524530507 0.00134332723271109 -0.000349108510983408 -0.000608088637159609 -2.45081449667602e-05 0.000765750216589516 0.000442778927822465 -0.000897547801943418 -0.00103084259933279 -0.00420388894222755 0.00138132150297645 0.00636987666108792 0.000405413924507814 -0.00517927645125016 -0.0028850033044027 0.00269256971467407 0.000731480332018433 -0.0014399426742159 0.000965680483589508 -0.00392083388257155 0.00306731450244466
