ID,Lat,TL,Sex,SpeciesExt,mtDNA,Species
A106,20.82,45,F,A.inodorus,AI,A.inodorus
A109,20.82,44,F,A.inodorus,AI,A.inodorus
A114,21.58,53,M,A.inodorus,AI,A.inodorus
A213,22.7,67,F,A.inodorus,AI,A.inodorus
A214,22.7,91,F,A.inodorus,AI,A.inodorus
A215,22.7,74,F,A.inodorus,AI,A.inodorus
A217,22.7,70,F,A.inodorus,AI,A.inodorus
A219,22.7,74,U,A.inodorus,AI,A.inodorus
A220,22.7,67,M,A.inodorus,AI,Hybrid
A224,22.7,63,U,A.inodorus,AI,A.inodorus
A227,22.7,67,M,A.inodorus,AI,A.inodorus
A230,22.7,43,F,A.inodorus,AI,A.inodorus
A231,22.7,46,F,A.inodorus,AI,A.inodorus
A238,20.82,51,F,A.inodorus,AI,A.inodorus
A243,20.82,66.5,M,A.inodorus,AI,A.inodorus
A244,20.82,69.5,F,A.inodorus,AI,A.inodorus
A247,20.82,70,M,A.inodorus,AI,A.inodorus
A250,20.82,56,F,A.inodorus,AI,A.inodorus
A253,20.82,50,M,A.inodorus,AI,A.inodorus
A254,20.82,63,M,A.inodorus,AI,A.inodorus
A259,20.82,40.5,F,A.inodorus,AI,A.inodorus
A262,20.82,51.5,F,A.inodorus,AI,A.inodorus
A264,20.82,53.5,F,A.inodorus,AI,A.inodorus
A265,20.82,41.5,F,A.inodorus,AI,A.inodorus
A267,20.82,65,M,A.inodorus,AI,A.inodorus
A269,20.82,43.5,M,A.inodorus,AI,A.inodorus
A270,20.82,42.5,F,A.inodorus,AI,A.inodorus
A274,20.82,47,M,A.inodorus,AI,A.inodorus
A275,20.82,61,M,A.inodorus,AI,A.inodorus
A276,20.82,58,M,A.inodorus,AI,A.inodorus
A277,20.82,50,F,A.inodorus,AI,A.inodorus
A278,20.82,45,F,A.inodorus,AI,A.inodorus
A288,20.82,47.5,F,A.inodorus,AI,A.inodorus
A297,20.82,74,F,A.inodorus,AI,A.inodorus
A298,20.82,40,M,A.inodorus,AI,A.inodorus
A350,20.82,46,F,A.inodorus,AI,A.inodorus
A351,20.82,55,F,A.inodorus,AI,A.inodorus
A352,20.82,58,F,A.inodorus,AI,A.inodorus
A354,20.82,59.5,F,A.inodorus,AI,A.inodorus
A355,20.82,59,M,A.inodorus,AI,A.inodorus
A357,20.82,48,F,A.coronus,AC,A.coronus
A359,20.82,53.5,F,A.inodorus,AI,A.inodorus
A362,20.82,52,M,A.inodorus,AI,A.inodorus
A363,20.82,48,F,A.inodorus,AI,A.inodorus
A365,20.82,54,M,A.inodorus,AI,A.inodorus
A366,20.82,44.5,F,A.inodorus,AI,A.inodorus
A367,20.82,45,F,A.inodorus,AI,A.inodorus
A368,20.82,50,F,A.inodorus,AI,A.inodorus
A369,20.82,52,F,A.inodorus,AI,A.inodorus
A370,20.82,51,F,A.inodorus,AC,A.coronus
A371,20.82,50,F,A.inodorus,AI,A.inodorus
A372,20.82,48,F,A.inodorus,AI,A.inodorus
A373,20.82,53,M,A.inodorus,AI,A.inodorus
