ID,Species,TL,OCD,OCD.OH,OA,OL,OH,OP
A106,A.inodorus,45,4.208,0.486848892,111.1301271,16.78147743,8.644023646,42.54999584
A109,A.inodorus,44,3.09,0.350264959,104.073009,15.4768931,8.822224579,40.37154729
A114,A.inodorus,53,4.233,0.440012349,129.259811,17.8688122,9.619873749,45.88133819
A213,A.inodorus,67,3.833,0.318891389,176.5519599,21.31294188,12.01939117,54.29963879
A214,A.inodorus,91,4.538,0.337992173,294.1385662,26.56600835,13.42520847,70.18322426
A215,A.inodorus,74,3.798,0.315930282,180.2528256,21.15619432,12.02188311,54.85098806
A217,A.inodorus,70,5.186,0.407563783,202.4406981,21.49823683,12.72520657,57.11808253
A219,A.inodorus,74,4.085,0.317755606,190.7939677,20.96646006,12.85444718,55.02488384
A220,Hybrid,67,4.06,0.305465154,194.4500924,20.9248917,13.29238023,56.49117996
A224,A.inodorus,63,3.844,0.349233989,170.1379562,20.70320068,11.00552753,53.16848898
A227,A.inodorus,67,4.97,0.446718913,175.8911775,20.94133457,11.12659749,53.18443409
A230,A.inodorus,43,3.495,0.411631673,106.4979735,16.33934167,8.491036318,41.01916423
A231,A.inodorus,46,3.683,0.345418844,138.6592098,17.54293754,10.66098256,46.09516401
A238,A.inodorus,51,3.914,0.377643958,139.1037949,17.81144567,10.3640785,47.1432992
A243,A.inodorus,66.5,4.059,0.315867852,196.400356,21.5655198,12.85152821,57.06601715
A244,A.inodorus,69.5,4.685,0.396164819,179.0375772,20.35253555,11.82664114,53.59824453
A247,A.inodorus,70,4.701,0.354411451,190.6697103,20.59207048,13.26559461,55.55780196
A250,A.inodorus,56,4.654,0.442597567,157.5004378,20.12168494,10.51577494,50.96232566
A253,A.inodorus,50,4.355,0.423607719,131.9823263,18.35638333,10.28104072,46.69790504
A254,A.inodorus,63,4.787,0.415321614,192.9551237,21.9274948,11.5253077,56.2490418
A259,A.inodorus,40.5,3.441,0.370402027,107.758913,15.89149244,9.291082791,40.78935377
A262,A.inodorus,51.5,4.434,0.407984952,152.2476544,19.30921607,10.86834118,49.28910257
A264,A.inodorus,53.5,4.048,0.37097994,153.0424617,19.14417924,10.91196374,49.32009794
A265,A.inodorus,41.5,3.452,0.38945753,114.2631001,16.75546562,8.863676724,42.29710747
A267,A.inodorus,65,4.349,0.37115151,180.9031259,21.02388148,11.71638923,54.64139454
A269,A.inodorus,43.5,3.633,0.380011109,116.8957833,16.46308795,9.560674157,42.76644822
A270,A.inodorus,42.5,3.52,0.41362211,105.9084278,15.93720245,8.50931549,40.60277424
A274,A.inodorus,47,4.079,0.442670917,125.3169475,17.57652094,9.213477344,44.32288836
A275,A.inodorus,61,3.499,0.342919434,143.2030268,18.58469979,10.20448504,48.33228788
A276,A.inodorus,58,4.072,0.438996393,125.456977,17.78009035,9.276812401,44.90286164
A277,A.inodorus,50,4.168,0.422907268,138.7079111,18.63723566,9.855002388,46.97956654
A278,A.inodorus,45,3.998,0.420781921,128.1783379,17.73894504,9.501622844,45.09397887
A288,A.inodorus,47.5,3.941,0.395932808,134.4217231,17.775768,9.95427038,46.35926156
A297,A.inodorus,74,4.243,0.353874044,174.7289185,20.88135396,11.99154276,54.23928108
A298,A.inodorus,40,3.901,0.460918717,97.62666771,15.29715949,8.462567073,38.55563844
A350,A.inodorus,46,3.495,0.374994107,111.3019602,16.10818468,9.320625099,41.6537287
A351,A.inodorus,55,3.64,0.347365886,148.9138835,18.86619036,10.47792937,48.97081429
A352,A.inodorus,58,4.757,0.470173463,149.1276698,19.03940259,10.11845143,49.3629826
A354,A.inodorus,59.5,3.601,0.317292519,155.1138757,18.87720225,11.34825982,50.28095254
A355,A.inodorus,59,3.98,0.349448587,164.3940606,19.56245896,11.39049722,50.96373657
A357,A.coronus,48,2.375,0.254189957,129.6271892,17.06653806,9.342094782,44.47639146
A359,A.inodorus,53.5,4.051,0.368484427,154.2235562,18.67973211,10.99379632,49.64924222
A362,A.inodorus,52,3.215,0.352379548,108.2266751,16.33897921,9.124727992,42.246909
A363,A.inodorus,48,3.009,0.297257616,134.7146634,17.5937026,10.12132529,45.72116539
A365,A.inodorus,54,3.882,0.329633584,156.9463351,18.45588546,11.77686824,49.59676331
A366,A.inodorus,44.5,3.563,0.437311501,104.2079382,15.99313526,8.148546253,40.26651024
A367,A.inodorus,45,3.602,0.398023665,118.592592,17.26894607,9.048553596,43.65553666
A368,A.inodorus,50,4.151,0.386185044,140.5313782,17.95077596,10.74893238,46.9826415
A369,A.inodorus,52,3.883,0.370486984,132.3858775,17.55659081,10.48052322,45.70080193
A370,A.coronus,51,3.382,0.332864351,124.8458091,16.83455263,10.15911385,44.57161404
A371,A.inodorus,50,3.836,0.37036415,127.7926847,17.67417863,10.35612778,45.73112231
A372,A.inodorus,48,3.769,0.376261919,125.4037833,17.00046722,10.0166404,44.22589004
A373,A.inodorus,53,3.376,0.349993148,132.9898796,17.72709422,9.646635748,45.80693097
A392,A.inodorus,47,3.269,0.31945716,130.188112,17.36290158,10.23172652,45.06233637
A401,A.inodorus,60,4.565,0.437468031,165.6588767,20.05588555,10.43563434,51.5840131
A405,A.inodorus,58,5.039,0.422774992,181.9703729,20.51359089,11.91832375,53.50207992
A407,A.inodorus,58,4.482,0.392846805,186.9998506,21.59117116,11.4087664,55.05784438
A416,A.inodorus,50,4.075,0.374589182,150.5198355,18.24930237,10.87876686,48.35861008
A420,A.coronus,46.5,2.508,0.284453239,121.781295,16.53831475,8.815893293,43.17220077
A422,A.inodorus,53,3.741,0.366055654,144.6468109,18.9242986,10.22036454,48.56725177
A432,A.inodorus,42,3.246,0.412479851,86.61765211,14.59639132,7.86869325,36.9250654
A477,A.inodorus,45.3,4.121,0.444761263,124.7949487,17.61622043,9.265894886,44.48249557
A485,A.coronus,43.2,2.06,0.24208663,100.3576656,14.42876004,8.507691207,38.07360643
A510,A.inodorus,44.5,3.314,0.385062679,97.55789158,14.95241209,8.606257888,38.52149424
A511,A.coronus,51.2,2.12,0.243750575,112.2344638,15.51966575,8.697415378,40.89945717
A515,A.coronus,55.4,2.236,0.236615078,120.0306638,15.89593472,9.449622143,42.48179306
A522,A.inodorus,47.5,3.088,0.328084114,114.0915607,16.47268793,9.411282571,42.75767035
A527,A.inodorus,72.5,3.448,0.305889688,169.6405474,19.92399579,11.27119914,52.08265928
A532,A.inodorus,46.5,3.407,0.383287091,104.571158,15.57421961,8.887753769,40.42066079
A542,A.inodorus,51.2,4.335,0.416983712,144.5040374,18.42359903,10.3955566,48.11398289
A544,Hybrid,40.7,3.362,0.406184667,92.80612291,15.01447887,8.276076519,38.07527496
A554,A.inodorus,50.5,3.229,0.311977815,141.2269644,18.09854029,10.35053328,47.27528134
