,Descriptor,Mean,Variance,ShapiroW,ShapiroP,Skew,Kurt
9,A2,-0.021579134,9.05E-05,0.96258,0.37988,-0.675973109,4.435253186
10,A3,0.042686738,6.09E-05,0.85707,0.00107,-1.690112927,6.799955909
11,A4,-0.017326657,1.84E-05,0.97420,0.67762,-0.343374163,3.513969914
12,A5,-0.001423626,7.02E-06,0.96020,0.33256,0.503147897,2.761186283
13,A6,-0.009401659,6.99E-06,0.97450,0.68634,0.127466624,3.458066045
14,A7,-0.003129057,3.57E-06,0.95472,0.24222,0.415343523,3.69396676
15,A8,-0.003120611,4.00E-06,0.93416,0.07057,0.958717697,4.663873333
16,A9,-0.00131966,2.14E-06,0.98959,0.99019,0.134189721,2.806846912
1,A10,0.000725202,2.10E-06,0.97691,0.75494,0.166582922,2.396455927
2,A11,0.000879152,1.23E-06,0.85545,0.00099,1.699128451,8.079596227
3,A12,0.00125941,1.23E-06,0.95665,0.27108,-0.647755065,4.145714215
4,A13,0.001157935,7.93E-07,0.95862,0.30381,-0.408163124,3.263536277
5,A14,0.000701004,5.93E-07,0.93274,0.06481,-0.910771033,3.720525751
6,A15,0.000643818,4.23E-07,0.97835,0.79494,-0.079580691,3.228167907
7,A16,0.000333041,5.01E-07,0.96227,0.37345,0.101944973,4.087751374
8,A17,0.000229916,4.38E-07,0.94437,0.13048,-0.3012232,5.015043032
25,B2,-0.005093377,0.000177637,0.86481,0.00156,-0.585475673,7.30920335
26,B3,-0.009668441,8.20E-06,0.95344,0.22458,-0.376055956,2.953234796
27,B4,-0.004264065,1.31E-05,0.82439,0.00024,1.56595888,4.995254787
28,B5,-0.004295255,9.63E-06,0.9200,0.03042,1.066005235,4.388366761
29,B6,-0.000748524,5.31E-06,0.95913,0.31289,0.344499265,3.352145621
30,B7,-0.000197944,5.78E-06,0.97628,0.73718,0.151587745,2.963458521
31,B8,0.001561618,2.24E-06,0.96277,0.38387,-0.455616286,2.757305094
32,B9,0.001378895,9.54E-07,0.98674,0.96672,0.076349891,2.979162513
17,B10,0.001104373,2.18E-06,0.93582,0.07794,-0.848022851,3.384403893
18,B11,0.000509622,1.76E-06,0.91037,0.01751,-1.062535909,3.73691781
19,B12,0.000771445,1.86E-06,0.95208,0.20716,-0.639255123,2.994917213
20,B13,-5.49E-05,1.99E-06,0.82034,0.00020,-1.540847462,4.851548599
21,B14,0.00027258,1.15E-06,0.82981,0.00030,-1.396927765,4.130386041
22,B15,0.000180691,8.81E-07,0.91072,0.01786,-1.12153712,5.210641212
23,B16,-1.72E-05,6.95E-07,0.99179,0.99762,0.190377977,2.691230197
24,B17,-3.28E-05,4.31E-07,0.91513,0.02299,-1.246386797,6.097517515
41,C2,0.00484132,0.000511612,0.84679,0.00065,-1.413256677,4.537329571
42,C3,0.011364392,4.24E-05,0.93147,0.06007,-0.999746877,4.577085022
43,C4,0.001842214,8.25E-05,0.93456,0.07225,0.94388034,5.092954016
44,C5,-0.004129412,8.63E-06,0.98090,0.86033,0.16030778,3.026264534
45,C6,-0.002850971,6.47E-06,0.97574,0.72176,-0.42543644,2.76651714
46,C7,-0.006229655,5.38E-06,0.93511,0.07470,0.896508212,3.456440251
47,C8,-0.000813048,4.95E-06,0.96511,0.43582,0.696979711,3.805744788
48,C9,0.000355161,3.57E-06,0.94607,0.14462,-0.751172635,4.075548157
33,C10,0.001735512,1.57E-06,0.96979,0.55400,-0.482801651,2.887877127
34,C11,0.001471738,1.88E-06,0.95962,0.32180,0.246766814,2.030359986
35,C12,-0.000445249,1.49E-06,0.97189,0.61196,0.090321125,2.178283484
36,C13,-0.000481003,1.13E-06,0.96343,0.39807,-0.37445319,2.351303981
37,C14,0.000558686,7.56E-07,0.94735,0.15617,-0.6240241,2.560357304
38,C15,9.41E-06,6.88E-07,0.95004,0.18348,0.484574974,4.113450182
39,C16,-0.000270916,6.86E-07,0.90375,0.01206,1.027348293,3.633587995
40,C17,0.00030715,6.84E-07,0.96952,0.54678,0.423809327,3.320045385
49,D1,-0.621066087,0.000431021,0.95561,0.25517,0.252018712,1.989656495
58,D2,-0.03453696,3.41E-05,0.99291,0.99912,0.104161002,3.274161354
59,D3,-0.072442713,3.42E-05,0.86370,0.00147,-1.628391031,7.063058246
60,D4,-0.001143296,2.38E-05,0.98694,0.96899,0.257031436,2.805486007
61,D5,-0.004512219,8.13E-06,0.96999,0.55944,-0.606610616,3.515698567
62,D6,0.003351656,9.83E-06,0.95407,0.23310,0.195803013,3.611790007
63,D7,-0.00133332,5.17E-06,0.97762,0.77495,0.238394257,3.365522867
64,D8,0.004236101,5.87E-06,0.95777,0.28937,-0.663815957,3.984877589
65,D9,0.002156582,2.80E-06,0.91076,0.01790,-1.183565309,4.927925419
50,D10,0.002373298,2.02E-06,0.97171,0.60694,-0.286691304,2.631907216
51,D11,0.000118658,1.02E-06,0.96433,0.41810,-0.130952631,1.936097991
52,D12,-0.00107523,1.97E-06,0.97921,0.81785,0.319876637,3.556178697
53,D13,-0.000548205,6.30E-07,0.98485,0.94066,-0.124509624,2.233768994
54,D14,-0.000409221,9.60E-07,0.92962,0.05378,1.021856517,4.201541249
55,D15,-0.000719016,8.81E-07,0.96437,0.41897,0.256826384,2.284760484
56,D16,0.000369562,6.73E-07,0.98627,0.96105,-0.206015807,2.619920616
57,D17,0.000316296,5.51E-07,0.95521,0.24931,-0.04378839,2.001901852
