,Descriptor,Mean,Variance,ShapiroW,ShapiroP,Skew,Kurt
9,A2,-0.026877273,5.14E-05,0.98840,0.14764,-0.380316239,3.123299413
10,A3,0.053388753,4.52E-05,0.92059,2.55E-08,-1.298577805,7.561044548
11,A4,-0.016523457,1.33E-05,0.94537,2.20E-06,0.963190749,5.576909151
12,A5,0.002041798,1.06E-05,0.97283,0.00138,-0.572093909,3.175824567
13,A6,-0.007020157,6.29E-06,0.99211,0.43487,-0.066173282,2.995297608
14,A7,-0.000926789,4.12E-06,0.96721,0.00031,0.349048958,5.998009146
15,A8,-4.39E-05,2.81E-06,0.99123,0.34284,0.02856889,2.480102822
16,A9,0.003176545,2.80E-06,0.97274,0.00134,-0.653217985,4.190142651
1,A10,0.001261342,1.90E-06,0.97830,0.00659,-0.289449824,4.776130481
2,A11,0.001118977,1.44E-06,0.94634,2.67E-06,-1.000771165,6.873681595
3,A12,0.00112015,1.08E-06,0.99455,0.75322,-0.133570801,2.923069475
4,A13,0.00078792,8.49E-07,0.99669,0.96617,0.083772568,2.90931068
5,A14,0.000202568,7.83E-07,0.97056,0.00074,-0.492175138,5.489776195
6,A15,0.000535804,5.69E-07,0.99392,0.66738,-0.063797437,3.401462147
7,A16,-7.79E-05,5.74E-07,0.99444,0.73807,-0.074134286,3.422397423
8,A17,1.36E-05,4.36E-07,0.96229,0.00009,0.083527144,5.484433344
25,B2,0.006152555,0.000182083,0.83029,3.33E-13,1.061291062,18.11776426
26,B3,-0.009535205,2.99E-05,0.94114,9.54E-07,-0.866495281,8.658768359
27,B4,0.001282684,1.75E-05,0.99036,0.26689,0.211577604,3.61879712
28,B5,0.003657737,1.12E-05,0.95486,0.00002,0.638083005,5.170638951
29,B6,-0.000525036,7.49E-06,0.99180,0.40004,-0.223135932,3.681699819
30,B7,9.92E-05,4.05E-06,0.99444,0.73814,-0.242617517,3.071117259
31,B8,-0.000461494,2.95E-06,0.97787,0.00579,0.061501062,4.81258352
32,B9,0.000830359,2.52E-06,0.99508,0.82018,-0.057891036,3.128724992
17,B10,-0.000384059,2.40E-06,0.98912,0.18433,0.094951776,3.948850072
18,B11,0.000485983,1.83E-06,0.98439,0.04226,0.072233875,4.167298191
19,B12,-0.000806184,1.64E-06,0.99377,0.64717,0.034477513,3.021508752
20,B13,-0.000511223,9.51E-07,0.99534,0.85075,-0.15374983,3.267374244
21,B14,-0.000110182,7.31E-07,0.99409,0.69008,-0.277630784,3.247814876
22,B15,0.000420849,5.55E-07,0.99232,0.45941,-0.054477225,3.250117332
23,B16,-0.000101961,4.14E-07,0.99639,0.94774,-0.142097565,2.846038915
24,B17,9.06E-05,3.78E-07,0.99079,0.30260,0.171853917,2.703363822
41,C2,-0.038111517,0.000400692,0.98262,0.02436,0.064243772,3.706899314
42,C3,-0.0023374,6.48E-05,0.99598,0.91598,0.055531312,2.960636872
43,C4,0.021932109,5.31E-05,0.97885,0.00776,-0.373333862,4.245504475
44,C5,-0.00566266,2.44E-05,0.98577,0.06508,0.435701758,3.087560555
45,C6,-0.00466056,1.26E-05,0.98566,0.06280,0.165147952,2.410375139
46,C7,-0.00216025,1.03E-05,0.99502,0.81282,-0.02129344,3.03345312
47,C8,0.000650509,9.84E-06,0.99098,0.31888,-0.209525044,2.733818362
48,C9,0.00194947,5.72E-06,0.99272,0.50868,0.064897433,3.548708841
33,C10,0.002139885,5.53E-06,0.99288,0.52890,-0.194765032,3.042713553
34,C11,0.000557414,4.57E-06,0.99664,0.96343,0.092836745,2.880375295
35,C12,-0.002241662,3.08E-06,0.99267,0.50182,0.030692683,3.309859485
36,C13,1.48E-05,2.52E-06,0.99113,0.33274,-0.229824922,3.37384561
37,C14,0.000473184,1.44E-06,0.99101,0.32165,0.155339958,2.591185756
38,C15,-0.000448246,1.49E-06,0.99413,0.69633,-0.021191999,3.275355859
39,C16,-0.000594699,1.06E-06,0.98854,0.15428,0.355973497,3.129196349
40,C17,0.000246437,8.15E-07,0.99135,0.35425,-0.209021037,3.080968929
49,D1,-0.592209199,0.000521398,0.99136,0.35526,-0.087148563,2.623878322
58,D2,-0.048944701,7.29E-05,0.99420,0.70564,0.101363188,3.184518111
59,D3,-0.079769512,5.60E-05,0.99513,0.82692,0.008022217,2.670285671
60,D4,0.006331078,4.19E-05,0.99425,0.71201,-0.103329092,2.769686074
61,D5,-0.004848121,2.04E-05,0.98949,0.20596,0.155342873,3.545944514
62,D6,0.009224528,1.86E-05,0.99125,0.34403,-0.07567453,3.670354756
63,D7,0.001957556,1.13E-05,0.99695,0.97767,0.027558886,3.08320289
64,D8,-0.00032119,6.02E-06,0.96413,0.00014,0.751527832,4.656357104
65,D9,0.001206875,6.56E-06,0.99202,0.42505,-0.04597389,2.872873291
50,D10,0.001834792,4.41E-06,0.99107,0.32737,-0.320004187,3.594031174
51,D11,-0.002251994,3.28E-06,0.98962,0.21435,0.363389246,3.359130183
52,D12,-0.001237204,2.57E-06,0.99171,0.39062,-0.309366948,2.87772361
53,D13,-5.63E-05,1.50E-06,0.99090,0.31202,0.248774177,2.754421126
54,D14,-0.000347795,1.79E-06,0.99083,0.30561,0.177769931,3.856189199
55,D15,-0.000412008,1.38E-06,0.99458,0.75717,0.104407954,3.082715806
56,D16,0.000322869,9.74E-07,0.99150,0.36870,-0.278265355,3.122284627
57,D17,4.96E-06,1.02E-06,0.98959,0.21216,0.321853215,3.147866342
