"ID" "Species" "TL" "OCD.OH" "FF" "round" "ellip" "AR" "circ" "logOA"
"1" "A106" "A.inodorus" 45 0.486848892 0.771334276878437 0.502436918469587 0.320050871747862 1.94139652056199 16.2917310834608 4.71070183090247
"2" "A109" "A.inodorus" 44 0.350264959 0.802411577166116 0.553198079933761 0.273864615535039 1.75430731346836 15.6607543708927 4.64509266246327
"3" "A114" "A.inodorus" 53 0.440012349 0.771616006670181 0.515444923015184 0.300084859141842 1.85748926298097 16.2857827024453 4.86182441766441
"4" "A213" "A.inodorus" 67 0.318891389 0.752468849512043 0.494875393842042 0.27881488811657 1.77321310027719 16.7001871539375 5.17361522341728
"5" "A214" "A.inodorus" 91 0.337992173 0.750404108100995 0.530651602518708 0.328592149099803 1.97881533157302 16.7461378192081 5.68405096991075
"6" "A215" "A.inodorus" 74 0.315930282 0.752875275405758 0.512763502332497 0.275311649063205 1.75980702244575 16.6911718645384 5.19436045204774
"7" "A217" "A.inodorus" 70 0.407563783 0.77975909864564 0.557702073475903 0.256345632947034 1.6894214417456 16.1157088595512 5.3104469947691
"8" "A219" "A.inodorus" 74 0.317755606 0.791874275294232 0.552617375441907 0.239852018824791 1.63106664692834 15.869148684859 5.2511941426863
"9" "A220" "Hybrid" 67 0.305465154 0.76569661216236 0.565446909402115 0.223060198534068 1.57420201182433 16.411683707038 5.27017553578807
"10" "A224" "A.inodorus" 63 0.349233989 0.756314522002533 0.505401290405237 0.30583608039321 1.88116386275579 16.6152708281821 5.13660961501526
"11" "A227" "A.inodorus" 67 0.446718913 0.781420562808031 0.510676019025222 0.30606080434611 1.88209689339629 16.0814434792988 5.16986549414681
"12" "A230" "A.inodorus" 43 0.411631673 0.795385360395628 0.507904842825105 0.316076757099426 1.9243047677658 15.7990971924711 4.66812595679943
"13" "A231" "A.inodorus" 46 0.345418844 0.820064204985802 0.57365952013427 0.244007037163603 1.6455272711749 15.3236423903867 4.93201919466643
"14" "A238" "A.inodorus" 51 0.377643958 0.786518419385105 0.558278310836686 0.264320447955663 1.71857494807667 15.9772108378383 4.9352203803689
"15" "A243" "A.inodorus" 66.5 0.315867852 0.757874002326888 0.53769070411862 0.253188233559953 1.67805100277642 16.5810815198527 5.28015520854601
"16" "A244" "A.inodorus" 69.5 0.396164819 0.783164376618817 0.550322496795438 0.264950669562951 1.72090581840382 16.0456361263678 5.18759571230047
"17" "A247" "A.inodorus" 70 0.354411451 0.776249726218947 0.572521490592173 0.216390464331337 1.55229155461129 16.1885668875775 5.25054266569617
"18" "A250" "A.inodorus" 56 0.442597567 0.762066993278399 0.495294145631626 0.313534804700657 1.913476187424 16.4898502693298 5.05942823794436
"19" "A253" "A.inodorus" 50 0.423607719 0.760555388307607 0.498714115826918 0.281985649124751 1.78545964654053 16.5226238713816 4.88266802195542
"20" "A254" "A.inodorus" 63 0.415321614 0.766365458308922 0.510961761681573 0.310951140790073 1.9025517904394 16.3973603952459 5.26245764217887
"21" "A259" "A.inodorus" 40.5 0.370402027 0.813896941156409 0.543292799581419 0.262102250800579 1.71040262986286 15.4397565329395 4.67989644482035
"22" "A262" "A.inodorus" 51.5 0.407984952 0.787514670208738 0.519913918981233 0.27970702930238 1.77664794932395 15.9569987579131 5.02550850023159
"23" "A264" "A.inodorus" 53.5 0.37097994 0.790631195498589 0.531677837881116 0.273894608016667 1.7544210827812 15.8940991525569 5.0307154103398
"24" "A265" "A.inodorus" 41.5 0.38945753 0.802591450947824 0.518206814167192 0.3080426655207 1.89035161612241 15.6572445414399 4.73850368490795
"25" "A267" "A.inodorus" 65 0.37115151 0.761399146804507 0.52111118004059 0.284282690648528 1.79439937230559 16.5043140212313 5.19796167196451
"26" "A269" "A.inodorus" 43.5 0.380011109 0.803160502570257 0.549144157611185 0.265235048054153 1.72195889951404 15.646151141826 4.76128279682659
"27" "A270" "A.inodorus" 42.5 0.41362211 0.807288876290733 0.530904566209877 0.303842329538732 1.87291239450801 15.566138693869 4.66257483206595
"28" "A274" "A.inodorus" 47 0.442670917 0.801610807225986 0.516480696683535 0.312170366990831 1.90769676678547 15.6763986975746 4.83084610814291
"29" "A275" "A.inodorus" 61 0.342919434 0.770348700574088 0.527899457878221 0.291088990517972 1.82122857911505 16.3125745587606 4.96426339117467
"30" "A276" "A.inodorus" 58 0.438996393 0.781909777857374 0.505285703119539 0.314273885198694 1.91661635284156 16.0713818527684 4.83196288704911
"31" "A277" "A.inodorus" 50 0.422907268 0.789756273827929 0.508450122885053 0.308232482727571 1.89114471272922 15.9117072327267 4.9323703631852
"32" "A278" "A.inodorus" 45 0.420781921 0.79211344662691 0.518643785032207 0.302391720726141 1.86693845159321 15.8643571421128 4.85342255907049
"33" "A288" "A.inodorus" 47.5 0.395932808 0.785970603239979 0.541655091579283 0.28205866550986 1.78574293458161 15.9883468447258 4.90098204523663
"34" "A297" "A.inodorus" 74 0.353874044 0.746357332488407 0.510220139444394 0.270429809569882 1.74134007424412 16.8369359653265 5.1632357357822
"35" "A298" "A.inodorus" 40 0.460918717 0.825282302032115 0.531198689580599 0.287654506413521 1.80762638074751 15.226754025158 4.58115069083084
"36" "A350" "A.inodorus" 46 0.374994107 0.806129675680376 0.546159800684885 0.266923998409293 1.72823008209269 15.5885225336149 4.71224686998625
"37" "A351" "A.inodorus" 55 0.347365886 0.78031580339034 0.532692870141047 0.285858327568922 1.80056475795847 16.1042113459197 5.00336817577316
"38" "A352" "A.inodorus" 58 0.470173463 0.769069008057987 0.523795443456169 0.305953625869755 1.88165182406771 16.3397178701702 5.00480278335925
"39" "A354" "A.inodorus" 59.5 0.317292519 0.770998477270118 0.554224231971731 0.249092715689954 1.66344466459352 16.2988267614393 5.04415952910807
"40" "A355" "A.inodorus" 59 0.349448587 0.795377795195026 0.546952175282159 0.264012318968107 1.71743678806675 15.7992474648829 5.10226635423223
"41" "A357" "A.coronus" 48 0.254189957 0.823468289809464 0.56665060325253 0.292496901456978 1.82684274333024 15.2602969293047 4.86466255512453
"42" "A359" "A.inodorus" 53.5 0.368484427 0.786204143672756 0.562755236124894 0.259016577962111 1.69911571638067 15.9835975369645 5.03840321340494
"43" "A362" "A.inodorus" 52 0.352379548 0.761998825519176 0.516172181106367 0.283315039745406 1.79062644106487 16.4913254371452 4.68422787114774
"44" "A363" "A.inodorus" 48 0.297257616 0.809823081968883 0.554128510931361 0.269614641546009 1.73828052116681 15.5174270703759 4.90315893717973
"45" "A365" "A.inodorus" 54 0.329633584 0.801778437081653 0.586666817835727 0.220919909786451 1.56713016430928 15.6731211930553 5.05590393226668
"46" "A366" "A.inodorus" 44.5 0.437311501 0.807649042319207 0.518732790038723 0.324939627870403 1.96269797868692 15.5591970718794 4.64638830875919
"47" "A367" "A.inodorus" 45 0.398023665 0.781967606454622 0.506332743738492 0.312354614926435 1.90847585603448 16.0701933310691 4.77569402255545
"48" "A368" "A.inodorus" 50 0.386185044 0.800033750391203 0.555286315516255 0.250937866499587 1.67000547825569 15.7073006085236 4.94543079622318
"49" "A369" "A.inodorus" 52 0.370486984 0.796533197306414 0.546854012030813 0.252382166810341 1.6751635811938 15.7763300473277 4.88572097240589
"50" "A370" "A.coronus" 51 0.332864351 0.789709040798411 0.560894172003872 0.247296482860005 1.65708868692322 15.9126589226512 4.8270794486814
"51" "A371" "A.inodorus" 50 0.37036415 0.767877846998563 0.520879940331698 0.261076377223948 1.70663968284872 16.3650646564136 4.85040930008606
"52" "A372" "A.inodorus" 48 0.376261919 0.805688823846022 0.55245771550301 0.258496465211179 1.69722247591118 15.5970521650934 4.83153879760018
"53" "A373" "A.inodorus" 53 0.349993148 0.796463845222732 0.538832280293123 0.29519026020371 1.83764523540503 15.7777037711548 4.89027303209343
"54" "A392" "A.inodorus" 47 0.31945716 0.80566367452212 0.549840645193772 0.258426206512274 1.69696693378783 15.5975390373817 4.86898041992229
"55" "A401" "A.inodorus" 60 0.437468031 0.782337817275747 0.524373994662176 0.315505794552244 1.92186549437875 16.0625887396288 5.10993071439136
"56" "A405" "A.inodorus" 58 0.422774992 0.798857317282667 0.5505888645937 0.265024968010954 1.72118087411411 15.7304318837612 5.20384388756194
"57" "A407" "A.inodorus" 58 0.392846805 0.775198128797623 0.510738948204458 0.308558303829712 1.89250707771526 16.2105275381022 5.23110781792379
"58" "A416" "A.inodorus" 50 0.374589182 0.808827631216318 0.575454936053899 0.253038931341485 1.67751571523245 15.5365248779419 5.01409487284662
"59" "A420" "A.coronus" 46.5 0.284453239 0.821073576154679 0.566902276043222 0.304581450302175 1.87596584944282 15.3048045623524 4.80222677205393
"60" "A422" "A.inodorus" 53 0.366055654 0.770604726994384 0.514256035679483 0.298645896786989 1.85162657612994 16.3071548540485 4.97429498416908
"61" "A432" "A.inodorus" 42 0.412479851 0.798313962339393 0.517637260389748 0.299473525195815 1.8549955953614 15.7411384582758 4.46150362978531
"62" "A477" "A.inodorus" 45.3 0.444761263 0.792553489641164 0.51201378489077 0.310627547194173 1.90118932350686 15.855548904401 4.82667197995593
"63" "A485" "A.coronus" 43.2 0.24208663 0.869986237020175 0.613765746909022 0.258151043909831 1.69596658939951 14.4443326568024 4.60874046096464
"64" "A510" "A.inodorus" 44.5 0.385062679 0.826163530413698 0.555584356577578 0.269376590780646 1.73738833818223 15.2105123885904 4.58044596159307
"65" "A511" "A.coronus" 51.2 0.243750575 0.8431425601484 0.593296283172012 0.281712330893258 1.7843997412446 14.9042062497087 4.72059010991627
"66" "A515" "A.coronus" 55.4 0.236615078 0.835788505018403 0.604825628397584 0.254336987419301 1.68217675579496 15.0353475058651 4.78774724180606
"67" "A522" "A.inodorus" 47.5 0.328084114 0.784215308359898 0.535346167341245 0.272809975530114 1.75031275553866 16.0241332710533 4.73700129006594
"68" "A527" "A.inodorus" 72.5 0.305889688 0.785874555667477 0.544110242441071 0.277375944257323 1.76769086789465 15.9903008994686 5.13368177143448
"69" "A532" "A.inodorus" 46.5 0.383287091 0.804294248984938 0.548920496267622 0.273341227929721 1.75232347956376 15.6240960695897 4.64986777747096
"70" "A542" "A.inodorus" 51.2 0.416983712 0.784417414185145 0.542052252845902 0.278566191635504 1.77225710357827 16.0200046392559 4.97330744764659
"71" "A544" "Hybrid" 40.7 0.406184667 0.804452484564085 0.524162832147204 0.289319092587312 1.8142025192167 15.6210228142543 4.53051261724922
"72" "A554" "A.inodorus" 50.5 0.311977815 0.794070832889947 0.548959929655712 0.272346549033864 1.7485611417695 15.8252514685939 4.95036827283312
"73" "A555" "A.inodorus" 52.5 0.389127146 0.738726405008233 0.465346396745406 0.334737844059587 2.00633364176985 17.0108588635316 4.93604647804794
"74" "A556" "A.inodorus" 49 0.342056797 0.774537970336746 0.537896026446918 0.256439234160047 1.68975999256863 16.2243441840504 4.97166260522241
"75" "A560" "A.coronus" 55.5 0.239031408 0.82882797473625 0.592930993888155 0.255479037401398 1.68629105219469 15.1616149519544 5.28641446018943
"76" "A562" "A.inodorus" 44.5 0.233094741 0.852639186959122 0.608076907614946 0.273783533501191 1.75399979518817 14.7382043970747 4.48355436583832
"77" "A563" "A.inodorus" 39.5 0.392026444 0.837885081189497 0.582673069681654 0.257473467233961 1.69350644286024 14.9977256982777 4.44086386264146
"78" "A564" "A.coronus" 76 0.275251722 0.821246392095437 0.563639447162287 0.297088753555238 1.84530943289889 15.3015839525281 5.24344237606448
"79" "A565" "A.coronus" 52 0.256401945 0.822155721021027 0.583158655838899 0.278189426381387 1.77081006166689 15.2846599410062 5.13834381599942
